Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"5.3000","4.4187","0.0001","4.4187","2.9458","0.0064","0.0000"
"5.3200","4.4355","0.0001","4.4355","2.9570","0.0074","0.0000"
"5.3400","4.4520","0.0001","4.4520","2.9680","0.0066","0.0000"
"5.3600","4.4685","0.0000","4.4685","2.9790","0.0040","0.0000"
"5.3800","4.4852","0.0001","4.4852","2.9901","0.0083","0.0000"
"5.4000","4.5017","0.0001","4.5017","3.0011","0.0121","0.0000"
"5.4200","4.5183","0.0001","4.5183","3.0122","0.0131","0.0000"
"5.4400","4.5351","0.0001","4.5351","3.0234","0.0127","0.0000"
"5.4600","4.5519","0.0001","4.5519","3.0346","0.0084","0.0000"
"5.4800","4.5685","0.0001","4.5685","3.0457","0.0081","0.0000"
"5.5000","4.5850","0.0001","4.5850","3.0567","0.0090","0.0000"
"5.5200","4.6017","0.0001","4.6017","3.0678","0.0114","0.0000"
"5.5400","4.6183","0.0001","4.6183","3.0789","0.0137","0.0000"
"5.5600","4.6350","0.0001","4.6350","3.0900","0.0115","0.0000"
"5.5800","4.6519","0.0001","4.6519","3.1012","0.0087","0.0000"
"5.6000","4.6686","0.0001","4.6686","3.1124","0.0080","0.0000"
"5.6200","4.6853","0.0001","4.6853","3.1235","0.0088","0.0000"
"5.6400","4.7018","0.0001","4.7018","3.1345","0.0100","0.0000"
"5.6600","4.7183","0.0001","4.7183","3.1456","0.0108","0.0000"
"5.6800","4.7351","0.0001","4.7351","3.1567","0.0108","0.0000"
"5.7000","4.7516","0.0001","4.7516","3.1677","0.0128","0.0000"
"5.7200","4.7684","0.0001","4.7684","3.1789","0.0135","0.0000"
"5.7400","4.7851","0.0001","4.7851","3.1901","0.0126","0.0000"
"5.7600","4.8019","0.0001","4.8019","3.2013","0.0115","0.0000"
"5.7800","4.8183","0.0001","4.8183","3.2122","0.0111","0.0000"
"5.8000","4.8347","0.0001","4.8347","3.2232","0.0085","0.0000"
"5.8200","4.8515","0.0001","4.8515","3.2343","0.0087","0.0000"
"5.8400","4.8684","0.0001","4.8684","3.2456","0.0114","0.0000"
"5.8600","4.8850","0.0001","4.8850","3.2567","0.0112","0.0000"
"5.8800","4.9019","0.0001","4.9019","3.2679","0.0135","0.0000"
"5.9000","4.9188","0.0001","4.9188","3.2792","0.0131","0.0000"
"5.9200","4.9353","0.0001","4.9353","3.2902","0.0117","0.0000"
"5.9400","4.9515","0.0001","4.9515","3.3010","0.0128","0.0000"
"5.9600","4.9681","0.0001","4.9681","3.3121","0.0115","0.0000"
"5.9800","4.9850","0.0001","4.9850","3.3233","0.0105","0.0000"
"6.0000","5.0018","0.0001","5.0018","3.3345","0.0097","0.0000"
"6.0200","5.0184","0.0001","5.0184","3.3456","0.0118","0.0000"
"6.0400","5.0352","0.0001","5.0352","3.3568","0.0112","0.0000"
"6.0600","5.0518","0.0002","5.0518","3.3679","0.0158","0.0000"
"6.0800","5.0680","0.0002","5.0680","3.3787","0.0159","0.0000"
"6.1000","5.0845","0.0001","5.0845","3.3897","0.0132","0.0000"
"6.1200","5.1013","0.0001","5.1013","3.4009","0.0109","0.0000"
"6.1400","5.1183","0.0001","5.1183","3.4122","0.0108","0.0000"
"6.1600","5.1351","0.0001","5.1351","3.4234","0.0134","0.0000"
"6.1800","5.1519","0.0002","5.1519","3.4346","0.0155","0.0000"
"6.2000","5.1687","0.0002","5.1687","3.4458","0.0163","0.0000"
"6.2200","5.1852","0.0001","5.1852","3.4568","0.0146","0.0000"
"6.2400","5.2018","0.0002","5.2018","3.4678","0.0180","0.0000"
"6.2600","5.2185","0.0001","5.2185","3.4790","0.0150","0.0000"
"6.2800","5.2354","0.0001","5.2354","3.4903","0.0140","0.0000"
"6.3000","5.2522","0.0002","5.2522","3.5014","0.0158","0.0000"
"6.3200","5.2687","0.0002","5.2687","3.5125","0.0161","0.0000"
"6.3400","5.2851","0.0001","5.2851","3.5234","0.0139","0.0000"
"6.3600","5.3016","0.0001","5.3016","3.5344","0.0139","0.0000"
"6.3800","5.3182","0.0001","5.3182","3.5454","0.0113","0.0000"
"6.4000","5.3348","0.0001","5.3348","3.5565","0.0145","0.0000"
"6.4200","5.3517","0.0003","5.3517","3.5678","0.0280","0.0000"
"6.4400","5.3685","0.0003","5.3685","3.5790","0.0254","0.0000"
"6.4600","5.3852","0.0002","5.3852","3.5901","0.0189","0.0000"
"6.4800","5.4019","0.0002","5.4019","3.6012","0.0160","0.0000"
"6.5000","5.4184","0.0002","5.4184","3.6123","0.0162","0.0000"
"6.5200","5.4349","0.0002","5.4349","3.6233","0.0172","0.0000"
"6.5400","5.4517","0.0002","5.4517","3.6345","0.0190","0.0000"
"6.5600","5.4686","0.0002","5.4686","3.6457","0.0179","0.0000"
"6.5800","5.4855","0.0002","5.4855","3.6570","0.0153","0.0000"
"6.6000","5.5022","0.0002","5.5022","3.6681","0.0160","0.0000"
"6.6200","5.5187","0.0001","5.5187","3.6792","0.0136","0.0000"
"6.6400","5.5352","0.0002","5.5352","3.6901","0.0159","0.0000"
"6.6600","5.5517","0.0002","5.5517","3.7011","0.0190","0.0000"
"6.6800","5.5682","0.0002","5.5682","3.7121","0.0170","0.0000"
"6.7000","5.5850","0.0001","5.5850","3.7233","0.0133","0.0000"
"6.7200","5.6019","0.0002","5.6019","3.7346","0.0157","0.0000"
"6.7400","5.6186","0.0002","5.6186","3.7457","0.0163","0.0000"
"6.7600","5.6351","0.0002","5.6351","3.7568","0.0218","0.0000"
"6.7800","5.6516","0.0002","5.6516","3.7677","0.0219","0.0000"
"6.8000","5.6682","0.0002","5.6682","3.7788","0.0191","0.0000"
"6.8200","5.6850","0.0002","5.6850","3.7900","0.0180","0.0000"
"6.8400","5.7018","0.0002","5.7018","3.8012","0.0173","0.0000"
"6.8600","5.7186","0.0002","5.7186","3.8124","0.0164","0.0000"
"6.8800","5.7354","0.0002","5.7354","3.8236","0.0166","0.0000"
"6.9000","5.7520","0.0001","5.7520","3.8347","0.0142","0.0000"
"6.9200","5.7684","0.0002","5.7684","3.8456","0.0155","0.0000"
"6.9400","5.7850","0.0002","5.7850","3.8566","0.0183","0.0000"
"6.9600","5.8016","0.0002","5.8016","3.8677","0.0195","0.0000"
"6.9800","5.8185","0.0002","5.8185","3.8790","0.0177","0.0000"
"7.0000","5.8352","0.0002","5.8352","3.8902","0.0153","0.0000"
"7.0200","5.8520","0.0002","5.8520","3.9013","0.0164","0.0000"
"7.0400","5.8685","0.0002","5.8685","3.9124","0.0167","0.0000"
"7.0600","5.8851","0.0002","5.8851","3.9234","0.0210","0.0000"
"7.0800","5.9016","0.0002","5.9016","3.9344","0.0163","0.0000"
"7.1000","5.9181","0.0001","5.9181","3.9454","0.0139","0.0000"
"7.1200","5.9349","0.0002","5.9349","3.9566","0.0191","0.0000"
